Date,USAQI
2013-01-02,36
2013-01-03,39
2013-01-04,34
2013-01-05,28
2013-01-06,38
2013-01-07,42
2013-01-08,56
2013-01-09,54
2013-01-10,29
2013-01-11,22
2013-01-12,21
2013-01-13,34
2013-01-14,63
2013-01-15,95
2013-01-16,88
2013-01-17,52
2013-01-18,30
2013-01-19,40
2013-01-20,46
2013-01-21,45
2013-01-22,37
2013-01-23,51
2013-01-24,74
2013-01-25,70
2013-01-26,70
2013-01-27,98
2013-01-28,69
2013-01-29,52
2013-01-30,23
2013-01-31,28
2013-02-01,29
2013-02-02,27
2013-02-03,36
2013-02-04,27
2013-02-05,33
2013-02-06,39
2013-02-07,51
2013-02-08,46
2013-02-09,41
2013-02-10,46
2013-02-11,55
2013-02-12,66
2013-02-13,94
2013-02-14,81
2013-02-15,76
2013-02-16,123
2013-02-17,123
2013-02-18,89
2013-02-19,65
2013-02-20,30
2013-02-21,40
2013-02-22,58
2013-02-23,64
2013-02-24,42
2013-02-25,60
2013-02-26,80
2013-02-27,74
2013-02-28,75
2013-03-01,67
2013-03-02,50
2013-03-03,48
2013-03-04,52
2013-03-05,63
2013-03-06,90
2013-03-07,106
2013-03-08,70
2013-03-09,36
2013-03-10,34
2013-03-11,31
2013-03-12,49
2013-03-13,57
2013-03-14,85
2013-03-15,89
2013-03-16,73
2013-03-17,64
2013-03-18,66
2013-03-19,48
2013-03-20,41
2013-03-21,53
2013-03-22,55
2013-03-23,40
2013-03-24,39
2013-03-25,50
2013-03-26,46
2013-03-27,43
2013-03-28,50
2013-03-29,67
2013-03-30,74
2013-03-31,57
2013-04-01,47
2013-04-02,55
2013-04-03,54
2013-04-04,53
2013-04-05,57
2013-04-06,51
2013-04-07,51
2013-04-08,63
2013-04-09,68
2013-04-10,81
2013-04-11,75
2013-04-12,57
2013-04-13,46
2013-04-14,47
2013-04-15,52
2013-04-16,59
2013-04-17,69
2013-04-18,58
2013-04-19,52
2013-04-20,39
2013-04-21,33
2013-04-22,47
2013-04-23,88
2013-04-24,68
2013-04-25,75
2013-04-26,80
2013-04-27,53
2013-04-28,34
2013-04-29,36
2013-04-30,52
2013-05-01,40
2013-05-02,50
2013-05-03,43
2013-05-04,38
2013-05-05,59
2013-05-06,53
2013-05-07,57
2013-05-08,47
2013-05-09,59
2013-05-10,48
2013-05-11,50
2013-05-12,50
2013-05-13,27
2013-05-14,35
2013-05-15,44
2013-05-16,45
2013-05-17,43
2013-05-18,36
2013-05-19,31
2013-05-20,36
2013-05-21,26
2013-05-22,26
2013-05-23,33
2013-05-24,33
2013-05-25,36
2013-05-26,21
2013-05-27,23
2013-05-28,33
2013-05-29,36
2013-05-30,43
2013-05-31,33
2013-06-01,27
2013-06-02,31
2013-06-03,30
2013-06-04,27
2013-06-05,27
2013-06-06,30
2013-06-07,40
2013-06-08,44
2013-06-09,45
2013-06-10,36
2013-06-11,28
2013-06-12,41
2013-06-13,53
2013-06-14,33
2013-06-15,40
2013-06-16,35
2013-06-17,38
2013-06-18,46
2013-06-19,59
2013-06-20,62
2013-06-21,60
2013-06-22,31
2013-06-23,30
2013-06-24,26
2013-06-25,28
2013-06-26,25
2013-06-27,28
2013-06-28,42
2013-06-29,44
2013-06-30,29
2013-07-01,50
2013-07-02,39
2013-07-03,40
2013-07-04,40
2013-07-05,63
2013-07-06,45
2013-07-07,42
2013-07-08,52
2013-07-09,59
2013-07-10,40
2013-07-11,29
2013-07-12,23
2013-07-13,35
2013-07-14,50
2013-07-15,39
2013-07-16,44
2013-07-17,43
2013-07-18,41
2013-07-19,39
2013-07-20,36
2013-07-21,31
2013-07-22,47
2013-07-23,42
2013-07-24,33
2013-07-25,52
2013-07-26,74
2013-07-27,87
2013-07-28,62
2013-07-29,48
2013-07-30,27
2013-07-31,31
2013-08-01,39
2013-08-02,48
2013-08-03,61
2013-08-04,47
2013-08-05,35
2013-08-06,48
2013-08-07,46
2013-08-08,49
2013-08-09,33
2013-08-10,49
2013-08-11,40
2013-08-12,37
2013-08-13,37
2013-08-14,23
2013-08-15,27
2013-08-16,45
2013-08-17,47
2013-08-18,60
2013-08-19,32
2013-08-20,25
2013-08-21,39
2013-08-22,58
2013-08-23,51
2013-08-24,30
2013-08-25,32
2013-08-26,29
2013-08-27,26
2013-08-28,37
2013-08-29,43
2013-08-30,57
2013-08-31,66
2013-09-01,39
2013-09-02,31
2013-09-03,27
2013-09-04,29
2013-09-05,34
2013-09-06,40
2013-09-07,44
2013-09-08,47
2013-09-09,36
2013-09-10,21
2013-09-11,22
